wave length,C型模拟物
300,0.02199
305,0.02345
310,0.02243
315,0.02302
320,0.02375
325,0.02427
330,0.02552
335,0.02576
340,0.02584
345,0.0266
350,0.02726
355,0.02804
360,0.02849
365,0.02925
370,0.02974
375,0.03054
380,0.03126
385,0.03182
390,0.03264
395,0.03346
400,0.03404
405,0.03475
410,0.03522
415,0.03577
420,0.03636
425,0.03653
430,0.03723
435,0.03769
440,0.0379
445,0.03867
450,0.03874
455,0.03901
460,0.03951
465,0.03964
470,0.04011
475,0.04023
480,0.04068
485,0.04076
490,0.04112
495,0.04147
500,0.04181
505,0.04204
510,0.04225
515,0.0425
520,0.04273
525,0.043
530,0.04319
535,0.04345
540,0.04356
545,0.0438
550,0.04401
555,0.04402
560,0.04414
565,0.04446
570,0.04453
575,0.04448
580,0.04465
585,0.04467
590,0.04471
595,0.04477
600,0.04476
605,0.04477
610,0.04474
615,0.04471
620,0.04466
625,0.04471
630,0.04467
635,0.04463
640,0.0446
645,0.04445
650,0.04446
655,0.04456
660,0.04455
665,0.04432
670,0.04427
675,0.04438
680,0.04439
685,0.04408
690,0.04429
695,0.04398
700,0.04386
705,0.0438
710,0.04363
715,0.04377
720,0.04362
725,0.04373
730,0.04363
735,0.04366
740,0.04364
745,0.04348
750,0.04339
755,0.04353
760,0.04343
765,0.04321
770,0.04332
775,0.04347
780,0.04334
785,0.04349
790,0.04327
795,0.04324
800,0.04322
805,0.04323
810,0.04307
815,0.04304
820,0.04301
825,0.04298
830,0.04302
835,0.04297
840,0.04297
845,0.04286
850,0.04288
855,0.04274
860,0.04268
865,0.0426
870,0.04255
875,0.04252
880,0.04252
885,0.0425
890,0.04251
895,0.04254
900,0.04252
905,0.04249
910,0.04251
915,0.0425
920,0.04247
925,0.04247
930,0.04247
935,0.04247
940,0.04248
945,0.04244
950,0.04254
955,0.04259
960,0.04255
965,0.04258
970,0.04264
975,0.04264
980,0.0427
985,0.04272
990,0.04272
995,0.04268
1000,0.04266
1005,0.04265
1010,0.0427
1015,0.04281
1020,0.04279
1025,0.04284
1030,0.04282
1035,0.04286
1040,0.04285
1045,0.04293
1050,0.04291
1055,0.04302
1060,0.04307
1065,0.04309
1070,0.04316
1075,0.0432
1080,0.04324
1085,0.04329
1090,0.04329
1095,0.04327
1100,0.04333
1105,0.04334
1110,0.0433
1115,0.04334
1120,0.04334
1125,0.04337
1130,0.04343
1135,0.04347
1140,0.0435
1145,0.04353
1150,0.04355
1155,0.04359
1160,0.04367
1165,0.04377
1170,0.04387
1175,0.04392
1180,0.04394
1185,0.04398
1190,0.04399
1195,0.04405
1200,0.04415
1205,0.04424
1210,0.04431
1215,0.04442
1220,0.04449
1225,0.04453
1230,0.04455
1235,0.04459
1240,0.04457
1245,0.04457
1250,0.04456
1255,0.04457
1260,0.04459
1265,0.04468
1270,0.04476
1275,0.0448
1280,0.04486
1285,0.04496
1290,0.04496
1295,0.04499
1300,0.04508
1305,0.04509
1310,0.04507
1315,0.04518
1320,0.04524
1325,0.04532
1330,0.04543
1335,0.04555
1340,0.04565
1345,0.0457
1350,0.04575
1355,0.04582
1360,0.04584
1365,0.04592
1370,0.04594
1375,0.04598
1380,0.04601
1385,0.04608
1390,0.04613
1395,0.04621
1400,0.04622
1405,0.04631
1410,0.04641
1415,0.04646
1420,0.04649
1425,0.0466
1430,0.04671
1435,0.04679
1440,0.04682
1445,0.04692
1450,0.04699
1455,0.04701
1460,0.04713
1465,0.04724
1470,0.04727
1475,0.0474
1480,0.04749
1485,0.04751
1490,0.04758
1495,0.04771
1500,0.04772
1505,0.0478
1510,0.04793
1515,0.04804
1520,0.04808
1525,0.04813
1530,0.04823
1535,0.04825
1540,0.04825
1545,0.04831
1550,0.04841
1555,0.04846
1560,0.04854
1565,0.04859
1570,0.0487
1575,0.04871
1580,0.04874
1585,0.04878
1590,0.04884
1595,0.04884
1600,0.04896
1605,0.04904
1610,0.04909
1615,0.04914
1620,0.04923
1625,0.04925
1630,0.04932
1635,0.04944
1640,0.04959
1645,0.04964
1650,0.04969
1655,0.04971
1660,0.04978
1665,0.04981
1670,0.04988
1675,0.04994
1680,0.05001
1685,0.04998
1690,0.05004
1695,0.05008
1700,0.05019
1705,0.05027
1710,0.05033
1715,0.05036
1720,0.05042
1725,0.05055
1730,0.05055
1735,0.05061
1740,0.05068
1745,0.05072
1750,0.0507
1755,0.05076
1760,0.05088
1765,0.05088
1770,0.05096
1775,0.05102
1780,0.05112
1785,0.05115
1790,0.0512
1795,0.05123
1800,0.05129
1805,0.05136
1810,0.05137
1815,0.0514
1820,0.05147
1825,0.05153
1830,0.05156
1835,0.05163
1840,0.05172
1845,0.05174
1850,0.05168
1855,0.05164
1860,0.05167
1865,0.05161
1870,0.05165
1875,0.05165
1880,0.05168
1885,0.05171
1890,0.05171
1895,0.05176
1900,0.05181
1905,0.05187
1910,0.05189
1915,0.05192
1920,0.05193
1925,0.05198
1930,0.05191
1935,0.05195
1940,0.05202
1945,0.05213
1950,0.05208
1955,0.05206
1960,0.05216
1965,0.05222
1970,0.05222
1975,0.05228
1980,0.05231
1985,0.05229
1990,0.05238
1995,0.05234
2000,0.05229
2005,0.05236
2010,0.0524
2015,0.05242
2020,0.05241
2025,0.05244
2030,0.05246
2035,0.0524
2040,0.05238
2045,0.05237
2050,0.05239
2055,0.05242
2060,0.05247
2065,0.05246
2070,0.05248
2075,0.05254
2080,0.05249
2085,0.05248
2090,0.05255
2095,0.05267
2100,0.0527
2105,0.0528
2110,0.0529
2115,0.05292
2120,0.05288
2125,0.05301
2130,0.05297
2135,0.05302
2140,0.05296
2145,0.05304
2150,0.05299
2155,0.05306
2160,0.05303
2165,0.05305
2170,0.05317
2175,0.05322
2180,0.05324
2185,0.05333
2190,0.05341
2195,0.05345
2200,0.05341
2205,0.05347
2210,0.05351
2215,0.05355
2220,0.05353
2225,0.0535
2230,0.05348
2235,0.05342
2240,0.05344
2245,0.05352
2250,0.0535
2255,0.05346
2260,0.05347
2265,0.05343
2270,0.05341
2275,0.05338
2280,0.05342
2285,0.0535
2290,0.0535
2295,0.0535
2300,0.0534
2305,0.05327
2310,0.05322
2315,0.0532
2320,0.05314
2325,0.05316
2330,0.0532
2335,0.05316
2340,0.05319
2345,0.05312
2350,0.05309
2355,0.053
2360,0.05303
2365,0.05295
2370,0.05296
2375,0.05299
2380,0.05298
2385,0.05313
2390,0.05304
2395,0.05314
2400,0.05305
