wavelength,CM
320,0.02513
325,0.02593
330,0.02679
335,0.02754
340,0.02815
345,0.02879
350,0.02926
355,0.02976
360,0.03037
365,0.03106
370,0.03184
375,0.03275
380,0.03362
385,0.03461
390,0.03541
395,0.03622
400,0.0371
405,0.0378
410,0.03838
415,0.03906
420,0.03967
425,0.04013
430,0.04091
435,0.04154
440,0.04211
445,0.04274
450,0.04325
455,0.04372
460,0.04414
465,0.04478
470,0.04501
475,0.0455
480,0.04613
485,0.04644
490,0.04705
495,0.04745
500,0.04786
505,0.04831
510,0.04858
515,0.04919
520,0.04937
525,0.04977
530,0.0499
535,0.05025
540,0.05058
545,0.05059
550,0.05072
555,0.0508
560,0.05101
565,0.05114
570,0.05127
575,0.05125
580,0.05125
585,0.05133
590,0.05124
595,0.05128
600,0.05119
605,0.05121
610,0.05116
615,0.05108
620,0.05106
625,0.05104
630,0.05102
635,0.05099
640,0.05067
645,0.05068
650,0.0506
655,0.05057
660,0.05048
665,0.05047
670,0.0504
675,0.05035
680,0.05029
685,0.05028
690,0.05024
695,0.05026
700,0.05018
705,0.05017
710,0.05016
715,0.05013
720,0.05018
725,0.05029
730,0.05017
735,0.05029
740,0.05047
745,0.05043
750,0.0505
755,0.05055
760,0.05063
765,0.05081
770,0.05092
775,0.05091
780,0.0511
785,0.05126
790,0.05133
795,0.05143
800,0.05156
805,0.05168
810,0.05189
815,0.05194
820,0.05197
825,0.05199
830,0.05211
835,0.05222
840,0.05225
845,0.05228
850,0.0523
855,0.05223
860,0.05222
865,0.05217
870,0.05217
875,0.05209
880,0.05207
885,0.05207
890,0.05206
895,0.05211
900,0.05217
905,0.05231
910,0.05233
915,0.05246
920,0.05245
925,0.0525
930,0.05252
935,0.05253
940,0.05258
945,0.05267
950,0.05281
955,0.05288
960,0.05312
965,0.05315
970,0.05324
975,0.05334
980,0.05342
985,0.05345
990,0.05355
995,0.05359
1000,0.0537
1005,0.0538
1010,0.05388
1015,0.05405
1020,0.05417
1025,0.05422
1030,0.05426
1035,0.0544
1040,0.05441
1045,0.05446
1050,0.05457
1055,0.05469
1060,0.05472
1065,0.05484
1070,0.0549
1075,0.05495
1080,0.055
1085,0.05506
1090,0.0551
1095,0.05516
1100,0.05519
1105,0.05533
1110,0.05544
1115,0.05547
1120,0.05552
1125,0.05562
1130,0.05563
1135,0.05566
1140,0.05573
1145,0.05586
1150,0.05586
1155,0.0559
1160,0.05602
1165,0.05609
1170,0.05613
1175,0.05626
1180,0.05637
1185,0.05643
1190,0.05653
1195,0.05663
1200,0.05676
1205,0.05679
1210,0.05686
1215,0.05697
1220,0.05702
1225,0.05708
1230,0.05722
1235,0.05735
1240,0.05743
1245,0.0576
1250,0.05762
1255,0.05767
1260,0.05771
1265,0.05779
1270,0.05781
1275,0.05793
1280,0.05791
1285,0.05803
1290,0.05811
1295,0.05819
1300,0.05821
1305,0.05834
1310,0.05842
1315,0.05854
1320,0.05867
1325,0.05883
1330,0.05894
1335,0.05905
1340,0.05906
1345,0.05909
1350,0.0592
1355,0.05925
1360,0.05924
1365,0.05939
1370,0.05952
1375,0.05953
1380,0.05965
1385,0.0598
1390,0.05982
1395,0.05986
1400,0.05987
1405,0.05999
1410,0.0601
1415,0.06026
1420,0.06034
1425,0.06042
1430,0.06053
1435,0.0606
1440,0.0607
1445,0.06079
1450,0.06097
1455,0.06101
1460,0.06112
1465,0.06118
1470,0.06121
1475,0.0612
1480,0.06135
1485,0.0614
1490,0.06144
1495,0.06159
1500,0.06172
1505,0.06179
1510,0.06191
1515,0.06209
1520,0.06216
1525,0.06227
1530,0.0624
1535,0.0625
1540,0.06254
1545,0.0626
1550,0.06266
1555,0.06268
1560,0.06272
1565,0.06274
1570,0.06279
1575,0.06281
1580,0.06281
1585,0.06286
1590,0.06295
1595,0.06302
1600,0.06312
1605,0.06318
1610,0.06327
1615,0.06337
1620,0.06345
1625,0.0635
1630,0.06361
1635,0.06362
1640,0.06369
1645,0.06375
1650,0.06375
1655,0.06372
1660,0.06383
1665,0.0639
1670,0.06389
1675,0.06396
1680,0.06404
1685,0.06405
1690,0.06414
1695,0.06425
1700,0.0644
1705,0.06447
1710,0.06451
1715,0.06453
1720,0.06461
1725,0.06472
1730,0.06476
1735,0.06487
1740,0.06495
1745,0.06499
1750,0.0651
1755,0.06518
1760,0.0653
1765,0.06529
1770,0.06539
1775,0.06539
1780,0.06538
1785,0.06544
1790,0.06544
1795,0.06545
1800,0.06546
1805,0.06556
1810,0.06559
1815,0.06562
1820,0.06565
1825,0.06575
1830,0.06578
1835,0.06588
1840,0.06599
1845,0.06597
1850,0.06601
1855,0.06614
1860,0.06608
1865,0.06608
1870,0.06614
1875,0.06611
1880,0.06606
1885,0.06615
1890,0.0662
1895,0.06622
1900,0.06623
1905,0.06624
1910,0.06631
1915,0.06637
1920,0.06647
1925,0.0665
1930,0.06642
1935,0.06641
1940,0.0664
1945,0.06646
1950,0.06638
1955,0.06638
1960,0.06644
1965,0.06659
1970,0.06653
1975,0.0667
1980,0.06675
1985,0.06685
1990,0.06686
1995,0.06692
2000,0.06679
2005,0.06689
2010,0.0669
2015,0.06702
2020,0.06689
2025,0.06684
2030,0.0667
2035,0.06657
2040,0.0664
2045,0.06638
2050,0.06641
2055,0.06652
2060,0.06644
2065,0.06649
2070,0.06661
