光谱,M型模拟物
364,0.8899948
365,0.896135906
366,0.900880098
367,0.869164534
368,0.888656086
369,0.901288692
370,0.8801119
371,0.8806363
372,0.881211862
373,0.886396772
374,0.899623382
375,0.890732371
376,0.896736651
377,0.910568765
378,0.897404719
379,0.901033284
380,0.908035898
381,0.907804583
382,0.908262851
383,0.908850012
384,0.905811782
385,0.897874091
386,0.898521933
387,0.899361528
388,0.900372454
389,0.907357717
390,0.910560734
391,0.908657068
392,0.905286291
393,0.911050828
394,0.913619587
395,0.913044521
396,0.912795359
397,0.912547585
398,0.91307268
399,0.912374173
400,0.90714762
401,0.909030662
402,0.913146348
403,0.914417739
404,0.911691333
405,0.916799601
406,0.922146918
407,0.918043825
408,0.921348569
409,0.923458068
410,0.921698169
411,0.92015273
412,0.924760493
413,0.927085443
414,0.923260364
415,0.92615235
416,0.927213346
417,0.926040708
418,0.925333674
419,0.924798963
420,0.925777169
421,0.928066029
422,0.929693564
423,0.93021846
424,0.930784404
425,0.932089308
426,0.932088812
427,0.93398633
428,0.936353419
429,0.936023649
430,0.937521596
431,0.938783568
432,0.938806967
433,0.939084188
434,0.940137748
435,0.941329423
436,0.941762606
437,0.940870164
438,0.942387841
439,0.944881346
440,0.943680252
441,0.945246711
442,0.947261919
443,0.947587228
444,0.946920449
445,0.94726767
446,0.947984915
447,0.947991261
448,0.949950252
449,0.951284206
450,0.951039406
451,0.95031175
452,0.95100173
453,0.95216485
454,0.952604477
455,0.952262313
456,0.95290718
457,0.953939125
458,0.953767201
459,0.953673009
460,0.953857823
461,0.954399475
462,0.955381549
463,0.954970674
464,0.954374886
465,0.955051877
466,0.955743443
467,0.955916756
468,0.95570884
469,0.955810369
470,0.956909637
471,0.957976185
472,0.95827284
473,0.958159512
474,0.958010094
475,0.958593687
476,0.960253148
477,0.960303912
478,0.960064566
479,0.960376291
480,0.961234527
481,0.961974478
482,0.962658112
483,0.963378233
484,0.963825495
485,0.963348984
486,0.962766482
487,0.963547084
488,0.965218146
489,0.966070234
490,0.965875109
491,0.967135494
492,0.967526043
493,0.967662571
494,0.968622237
495,0.968754601
496,0.969403335
497,0.970637148
498,0.971312949
499,0.971867491
500,0.972470715
501,0.972956546
502,0.9721695
503,0.972073721
504,0.972920952
505,0.974089227
506,0.975384315
507,0.976210823
508,0.976374518
509,0.976270213
510,0.977138959
511,0.978060651
512,0.97812014
