Wavelength,L型普通球粒陨石
285,0.06722
290,0.06038
295,0.05912
300,0.05777
305,0.05809
310,0.05905
315,0.06045
320,0.06245
325,0.06471
330,0.06637
335,0.06888
340,0.07094
345,0.07304
350,0.07503
355,0.07755
360,0.08032
365,0.08325
370,0.08624
375,0.08905
380,0.09219
385,0.09499
390,0.09851
395,0.1012
400,0.1042
405,0.10668
410,0.10892
415,0.11156
420,0.11414
425,0.11643
430,0.11991
435,0.12234
440,0.12456
445,0.12722
450,0.12906
455,0.13074
460,0.13249
465,0.13383
470,0.1353
475,0.13678
480,0.13876
485,0.13995
490,0.14203
495,0.14386
500,0.14604
505,0.14806
510,0.15029
515,0.15264
520,0.15541
525,0.15848
530,0.16109
535,0.16298
540,0.16504
545,0.16655
550,0.16828
555,0.17021
560,0.17187
565,0.17316
570,0.17397
575,0.17472
580,0.17646
585,0.17671
590,0.17783
595,0.17838
600,0.17873
605,0.17943
610,0.18009
615,0.18064
620,0.18143
625,0.18155
630,0.18178
635,0.18215
640,0.18257
645,0.18285
650,0.18326
655,0.18351
660,0.18407
665,0.18474
670,0.18524
675,0.1857
680,0.1865
685,0.1869
690,0.18755
695,0.18761
700,0.18776
705,0.18801
710,0.18824
715,0.18805
720,0.18895
725,0.18889
730,0.18897
735,0.18903
740,0.189
745,0.18887
750,0.18848
755,0.18862
760,0.18883
765,0.18818
770,0.18819
775,0.18742
780,0.18747
785,0.18738
790,0.18715
795,0.18611
800,0.185
805,0.18436
810,0.18404
815,0.18347
820,0.18269
825,0.18174
830,0.18108
835,0.1804
840,0.17944
845,0.17841
850,0.17743
855,0.17663
860,0.17585
865,0.17493
870,0.17429
875,0.17378
880,0.1727
885,0.17261
890,0.17206
895,0.17146
900,0.17144
905,0.17116
910,0.17122
915,0.17116
920,0.17129
925,0.1713
930,0.1715
935,0.17144
940,0.17157
945,0.17178
950,0.17204
955,0.17217
960,0.17241
965,0.17267
970,0.17264
975,0.17305
980,0.17324
985,0.17393
990,0.17422
995,0.17406
1000,0.17411
1005,0.17433
1010,0.17456
1015,0.17483
1020,0.17499
1025,0.17521
1030,0.17543
1035,0.17552
1040,0.17553
1045,0.17537
1050,0.17603
1055,0.17629
1060,0.1768
1065,0.17726
1070,0.17759
1075,0.17802
1080,0.1783
1085,0.17879
1090,0.17905
1095,0.17982
1100,0.18056
1105,0.1809
1110,0.18125
1115,0.18226
1120,0.18238
1125,0.18284
1130,0.18273
1135,0.18399
1140,0.18408
1145,0.18442
1150,0.18487
1155,0.18487
1160,0.18533
1165,0.18549
1170,0.18624
1175,0.18687
1180,0.18684
1185,0.1868
1190,0.18673
1195,0.18733
1200,0.1876
1205,0.18703
1210,0.18739
1215,0.18771
1220,0.18774
1225,0.18797
1230,0.18781
1235,0.18797
1240,0.18861
1245,0.18868
1250,0.1887
1255,0.1891
1260,0.18945
1265,0.1892
1270,0.18987
1275,0.18977
1280,0.19006
1285,0.19021
1290,0.19053
1295,0.19072
1300,0.19088
1305,0.19105
1310,0.19119
1315,0.19126
1320,0.1916
1325,0.19196
1330,0.19209
1335,0.19237
1340,0.19272
1345,0.19283
1350,0.19317
1355,0.19339
1360,0.19356
1365,0.19386
1370,0.19425
1375,0.19433
1380,0.1945
1385,0.19495
1390,0.19515
1395,0.19512
1400,0.19513
1405,0.19544
1410,0.19565
1415,0.19591
1420,0.19575
1425,0.19631
1430,0.19706
1435,0.19636
1440,0.19688
1445,0.19725
1450,0.19794
1455,0.19749
1460,0.19769
1465,0.19799
1470,0.19802
1475,0.19853
1480,0.1985
1485,0.19903
1490,0.19908
1495,0.19824
1500,0.19896
1505,0.1992
1510,0.19935
1515,0.19993
1520,0.19939
1525,0.19939
1530,0.19997
1535,0.19991
1540,0.19972
1545,0.19966
1550,0.19988
1555,0.20002
1560,0.20023
1565,0.19981
1570,0.19963
1575,0.1999
1580,0.20002
1585,0.19997
1590,0.20052
1595,0.19974
1600,0.19978
1605,0.19958
1610,0.19958
1615,0.1995
1620,0.19963
1625,0.19956
1630,0.19945
1635,0.19931
1640,0.19932
1645,0.19924
1650,0.19889
1655,0.19884
1660,0.19879
1665,0.19879
1670,0.19876
1675,0.19879
1680,0.19868
1685,0.19864
1690,0.19843
1695,0.1983
1700,0.19843
1705,0.19833
1710,0.19828
1715,0.1983
1720,0.1981
1725,0.1981
1730,0.19797
1735,0.19772
1740,0.19762
1745,0.19749
1750,0.19726
1755,0.19716
1760,0.19703
1765,0.19666
1770,0.19674
1775,0.19675
1780,0.19664
1785,0.19663
1790,0.19643
1795,0.19593
1800,0.19593
1805,0.19598
1810,0.19597
1815,0.19597
1820,0.19521
1825,0.19549
1830,0.19526
1835,0.19546
1840,0.19537
1845,0.19525
1850,0.19498
1855,0.19503
1860,0.19499
1865,0.19481
1870,0.19491
1875,0.19484
1880,0.19483
1885,0.19454
1890,0.19475
1895,0.19442
1900,0.19447
1905,0.19424
1910,0.19419
1915,0.19391
1920,0.19415
1925,0.19399
1930,0.19372
1935,0.19384
1940,0.19395
1945,0.19428
1950,0.19391
1955,0.19381
1960,0.19381
1965,0.19422
1970,0.19407
1975,0.19424
1980,0.19427
1985,0.19437
1990,0.19434
1995,0.19414
2000,0.19399
2005,0.19427
2010,0.19422
2015,0.19461
2020,0.19423
2025,0.19529
2030,0.19459
2035,0.19449
2040,0.19457
2045,0.19455
2050,0.19483
2055,0.19493
2060,0.19458
2065,0.19487
2070,0.19507
2075,0.1954
2080,0.19544
2085,0.19547
2090,0.19539
2095,0.19548
2100,0.19549
2105,0.19544
2110,0.19563
2115,0.19572
2120,0.19604
2125,0.19613
2130,0.19643
2135,0.19637
2140,0.19598
2145,0.19636
2150,0.19616
2155,0.19615
2160,0.19703
2165,0.19628
2170,0.19707
2175,0.19686
2180,0.19719
2185,0.19732
2190,0.19798
2195,0.19784
2200,0.1975
2205,0.19839
2210,0.19791
2215,0.19777
2220,0.19786
2225,0.19782
2230,0.19778
2235,0.19786
2240,0.198
2245,0.1983
2250,0.19822
2255,0.19847
2260,0.19852
2265,0.1984
2270,0.19846
2275,0.19863
2280,0.1987
2285,0.19892
2290,0.19896
2295,0.19902
2300,0.1989
2305,0.19876
2310,0.19852
2315,0.19932
2320,0.19904
2325,0.19908
2330,0.19931
2335,0.19906
2340,0.19962
2345,0.1992
2350,0.19942
2355,0.19929
2360,0.19951
2365,0.19949
2370,0.19967
2375,0.19979
2380,0.19966
2385,0.20023
2390,0.20012
2395,0.20046
2400,0.20042
2405,0.20052
2410,0.20063
2415,0.20051
2420,0.2007
2425,0.20054
2430,0.20056
2435,0.20059
2440,0.20067
2445,0.20078
2450,0.20086
2455,0.20083
2460,0.20096
2465,0.20086
2470,0.20087
2475,0.20119
2480,0.20164
2485,0.20096
2490,0.20107
2495,0.20144
2500,0.20039
2505,0.20046
2510,0.20062
2515,0.20049
2520,0.20076
2525,0.20066
2530,0.20088
2535,0.20116
2540,0.20131
2545,0.20116
2550,0.20195
2555,0.20164
2560,0.20194
2565,0.20171
2570,0.20221
2575,0.20153
2580,0.20215
2585,0.20202
2590,0.20267
2595,0.20281
2600,0.20397
