光谱,橄榄陨铁
320,0.08606
330,0.09018
340,0.09136
350,0.09307
360,0.09496
370,0.09776
380,0.10008
390,0.10233
400,0.10451
410,0.10674
420,0.10882
430,0.11122
440,0.11328
450,0.11482
460,0.11583
470,0.11671
480,0.11761
490,0.11864
500,0.11988
510,0.12112
520,0.12259
530,0.12469
540,0.1264
550,0.12804
560,0.12928
570,0.13028
580,0.13111
590,0.13179
600,0.13261
610,0.13413
620,0.13576
630,0.13689
640,0.13791
650,0.13835
660,0.13833
670,0.13816
680,0.13807
690,0.1383
700,0.13856
710,0.13869
720,0.13876
730,0.13885
740,0.13913
750,0.13933
760,0.13998
770,0.13984
780,0.13999
790,0.14006
800,0.1402
810,0.14021
820,0.14037
830,0.13991
840,0.13986
850,0.14008
860,0.13968
870,0.14045
880,0.1407
890,0.14096
900,0.14156
910,0.14145
920,0.14146
930,0.14174
940,0.14235
950,0.14305
960,0.14311
970,0.1434
980,0.14476
990,0.14486
1000,0.1458
1010,0.14644
1020,0.14677
1030,0.14742
1040,0.14793
1050,0.14875
1060,0.14912
1070,0.14972
1080,0.15032
1090,0.15081
1100,0.15149
1110,0.15083
1120,0.15199
1130,0.15244
1140,0.15321
1150,0.15294
1160,0.15366
1170,0.15399
1180,0.15454
1190,0.15486
1200,0.15569
1210,0.15603
1220,0.15691
1230,0.15696
1240,0.15668
1250,0.15732
1260,0.15768
1270,0.15788
1280,0.15802
1290,0.15834
1300,0.15912
1310,0.1598
1320,0.15959
1330,0.16065
1340,0.16024
1350,0.16053
1360,0.16118
1370,0.16154
1380,0.16178
1390,0.16196
1400,0.16188
1410,0.1618
1420,0.16189
1430,0.162
1440,0.16245
1450,0.16229
1460,0.16167
1470,0.16266
1480,0.1624
1490,0.16358
1500,0.16267
1510,0.163
1520,0.16295
1530,0.16314
1540,0.16336
1550,0.16392
1560,0.1638
1570,0.16426
1580,0.1645
1590,0.16375
1600,0.16431
1610,0.16447
1620,0.16412
1630,0.16453
1640,0.16449
1650,0.16468
1660,0.16444
1670,0.16426
1680,0.16404
1690,0.16363
1700,0.16378
1710,0.16347
1720,0.16356
1730,0.16383
1740,0.16373
1750,0.16384
1760,0.1634
1770,0.16357
1780,0.16343
1790,0.16352
1800,0.16365
1810,0.16337
1820,0.16329
1830,0.16321
1840,0.1633
1850,0.16333
1860,0.16348
1870,0.16385
1880,0.16391
1890,0.16383
1900,0.1639
1910,0.16372
1920,0.16385
1930,0.16353
1940,0.16431
1950,0.16392
1960,0.16377
1970,0.16386
1980,0.16356
1990,0.16379
2000,0.16428
2010,0.16438
2020,0.16413
2030,0.16416
2040,0.16382
2050,0.16371
2060,0.16371
2070,0.16345
2080,0.16329
2090,0.16294
2100,0.16297
2110,0.16321
2120,0.1635
2130,0.1633
2140,0.16286
2150,0.16353
2160,0.16343
2170,0.16368
2180,0.16345
2190,0.16378
2200,0.1635
2210,0.16339
2220,0.16397
2230,0.16373
2240,0.16379
2250,0.16403
2260,0.16365
2270,0.16343
2280,0.16351
2290,0.16373
2300,0.16324
2310,0.16343
2320,0.16325
2330,0.16322
2340,0.16352
2350,0.16361
2360,0.16354
2370,0.1633
2380,0.16332
2390,0.1631
2400,0.16312
2410,0.16282
2420,0.16286
2430,0.16303
2440,0.16334
2450,0.16352
2460,0.16325
2470,0.16341
2480,0.16343
2490,0.16237
2500,0.16258
2510,0.16208
2520,0.16197
2530,0.16185
2540,0.16159
2550,0.16043
