Wavelength,QLS-L表壤模拟物
350,9.99E-02
351,9.08E-02
352,8.86E-02
353,9.71E-02
354,9.52E-02
355,8.51E-02
356,8.45E-02
357,8.54E-02
358,8.84E-02
359,9.14E-02
360,8.61E-02
361,8.89E-02
362,9.24E-02
363,8.79E-02
364,9.07E-02
365,9.19E-02
366,9.02E-02
367,0.089786097
368,9.01E-02
369,9.01E-02
370,8.97E-02
371,9.13E-02
372,9.14E-02
373,9.07E-02
374,9.06E-02
375,9.29E-02
376,0.093700111
377,9.24E-02
378,9.11E-02
379,9.18E-02
380,9.24E-02
381,9.21E-02
382,9.31E-02
383,9.43E-02
384,9.48E-02
385,9.42E-02
386,9.40E-02
387,9.43E-02
388,9.46E-02
389,9.43E-02
390,9.50E-02
391,9.57E-02
392,9.57E-02
393,9.57E-02
394,9.54E-02
395,9.52E-02
396,9.56E-02
397,0.096084826
398,9.64E-02
399,0.09660466
400,0.096913606
401,9.68E-02
402,9.67E-02
403,9.70E-02
404,9.75E-02
405,9.75E-02
406,9.73E-02
407,9.74E-02
408,9.82E-02
409,9.87E-02
410,0.098609447
411,9.88E-02
412,9.89E-02
413,9.90E-02
414,9.91E-02
415,9.92E-02
416,9.96E-02
417,1.00E-01
418,9.99E-02
419,0.100126661
420,0.100279547
421,0.100286469
422,0.100326382
423,0.100628927
424,0.100883104
425,0.100895144
426,0.101140648
427,0.10136044
428,0.101524308
429,0.101703383
430,0.101683669
431,0.101891696
432,0.102343872
433,0.102390051
434,0.102359824
435,0.102452628
436,0.102715731
437,0.102755837
438,0.102901518
439,0.103117347
440,0.103122711
441,0.103268974
442,0.103378385
443,0.103372306
444,0.103531517
445,0.103703462
446,0.103851229
447,0.103967935
448,0.103992596
449,0.103980079
450,0.104030609
451,0.104268521
452,0.104349196
453,0.1043493
454,0.10441526
455,0.104639992
456,0.104862958
457,0.105027378
458,0.105131112
459,0.105089992
460,0.105123363
461,0.105300732
462,0.105430521
463,0.105660491
464,0.10584715
465,0.105867557
466,0.105986118
467,0.106085166
468,0.106153898
469,0.106265448
470,0.106384359
471,0.106507905
472,0.106625319
473,0.106686056
474,0.106796719
475,0.106938623
476,0.107046582
477,0.107093006
478,0.107159987
479,0.107293151
480,0.107488446
481,0.107626766
482,0.107717395
483,0.107806645
484,0.107955344
485,0.10804528
486,0.108064398
487,0.108071394
488,0.108203843
489,0.10834381
490,0.108433016
491,0.108573556
492,0.108592167
493,0.108618788
494,0.108803228
495,0.108885154
496,0.108955875
497,0.109076463
498,0.109261103
499,0.109401762
500,0.109467454
501,0.10949707
502,0.109654672
503,0.10978584
504,0.109854773
505,0.109898373
506,0.110032938
507,0.110180065
508,0.110293306
509,0.11040473
510,0.110505767
511,0.110590823
512,0.110674255
513,0.110863462
514,0.111004077
515,0.111076117
516,0.111168966
517,0.111283287
518,0.111385405
519,0.111459941
520,0.111554489
521,0.11163827
522,0.111736737
523,0.111874692
524,0.111900918
525,0.111900568
526,0.111938208
527,0.112027779
528,0.112104557
529,0.112166159
530,0.112217516
531,0.112228706
532,0.112302467
533,0.112423033
534,0.112494707
535,0.112551011
536,0.112569839
537,0.112564564
538,0.112630777
539,0.11280188
540,0.112941518
541,0.112902977
542,0.112902999
543,0.112949394
544,0.113022082
545,0.113090992
546,0.113147795
547,0.113196224
548,0.113237716
549,0.113257408
550,0.113296323
551,0.113359958
552,0.113426387
553,0.113440439
554,0.113459907
555,0.113515146
556,0.113552615
557,0.113572061
558,0.113612719
559,0.11370182
560,0.113726564
561,0.113724127
562,0.113737345
563,0.113798089
564,0.113828205
565,0.11383041
566,0.113827996
567,0.113853715
568,0.11386542
569,0.113866225
570,0.113885105
571,0.113891877
572,0.113911003
573,0.113944843
574,0.113945305
575,0.11392878
576,0.113921747
577,0.113944285
578,0.113967285
579,0.113961935
580,0.113938957
581,0.113947593
582,0.113995068
583,0.114031971
584,0.114017911
585,0.113951817
586,0.113927588
587,0.113953434
588,0.113981493
589,0.113963149
590,0.113949105
591,0.113965318
592,0.113983184
593,0.113963366
594,0.113927238
595,0.113914557
596,0.113942616
597,0.113955975
598,0.113946982
599,0.11394988
600,0.11391262
601,0.113871656
602,0.113857865
603,0.113861434
604,0.113843463
605,0.113805868
606,0.113771893
607,0.113766067
608,0.11377836
609,0.11378976
610,0.113764428
611,0.113716424
612,0.11368534
613,0.113699146
614,0.113728307
615,0.113732405
616,0.113704734
617,0.113662831
618,0.113651782
619,0.113654979
620,0.113652423
621,0.11363551
622,0.113644749
623,0.113632746
624,0.113548875
625,0.113541104
626,0.113580778
627,0.113605097
628,0.113540143
629,0.113523692
630,0.113545679
631,0.113559797
632,0.113515787
633,0.113482729
634,0.113473855
635,0.113471456
636,0.11346326
637,0.113450423
638,0.113438748
639,0.113442257
640,0.113429405
641,0.113422833
642,0.113443017
643,0.113436341
644,0.113464408
645,0.113494366
646,0.113433495
647,0.113447785
648,0.113456316
649,0.113414004
650,0.113436967
651,0.113454834
652,0.113448694
653,0.113425218
654,0.113402508
655,0.11340075
656,0.113416381
657,0.113417022
658,0.113396309
659,0.113366455
660,0.113347918
661,0.11338
662,0.113377549
663,0.113358676
664,0.113383308
665,0.113396265
666,0.113380224
667,0.113346919
668,0.113338262
669,0.113389753
670,0.11343687
671,0.113422707
672,0.113412261
673,0.113426045
674,0.113445133
675,0.113429919
676,0.113414094
677,0.113415979
678,0.113430046
679,0.113418609
680,0.113443255
681,0.11345911
682,0.113424316
683,0.113438912
684,0.113455869
685,0.113459185
686,0.113457508
687,0.113441944
688,0.113428079
689,0.113426574
690,0.113413334
691,0.113414034
692,0.113410912
693,0.113384381
694,0.113378718
695,0.113383532
696,0.113397114
697,0.113419302
698,0.113398388
699,0.113368332
700,0.113360114
701,0.113368548
702,0.113394015
703,0.113410868
704,0.113398038
705,0.113394663
706,0.11340446
707,0.113414146
708,0.113395102
709,0.113388024
710,0.113391951
711,0.113403901
712,0.113420233
713,0.113403618
714,0.113384858
715,0.11340154
716,0.113365211
717,0.113373019
718,0.113421209
719,0.113402694
720,0.113391139
721,0.113377027
722,0.113351747
723,0.113340825
724,0.113330364
725,0.113320142
726,0.113316245
727,0.113330275
728,0.113330267
729,0.113305405
730,0.113275312
731,0.113287896
732,0.113295659
733,0.113268338
734,0.11325191
735,0.113236636
736,0.113214083
737,0.113181114
738,0.113175087
739,0.113160267
740,0.113143072
741,0.113159947
742,0.113127023
743,0.113074549
744,0.113039963
745,0.113040052
746,0.113065802
747,0.113061868
748,0.112993516
749,0.112975642
750,0.112951845
751,0.11292316
752,0.11292658
753,0.112879574
754,0.112846904
755,0.112849608
756,0.112817407
757,0.112785071
758,0.112753287
759,0.112714939
760,0.11267449
761,0.11262136
762,0.112582512
763,0.112587444
764,0.112537883
765,0.112497009
766,0.112481922
767,0.112443201
768,0.112401828
769,0.112365201
770,0.112333007
771,0.112297282
772,0.112257428
773,0.112208843
774,0.112155341
775,0.112141043
776,0.112115912
777,0.11207068
778,0.112033382
779,0.11199937
780,0.11195796
781,0.111911841
782,0.11188709
783,0.111826524
784,0.111755796
785,0.11170876
786,0.111673146
787,0.111617953
788,0.111554839
789,0.111506231
790,0.111408755
791,0.111342326
792,0.111312106
793,0.111243516
794,0.111200623
795,0.111157514
796,0.111092754
797,0.1110221
798,0.110946096
799,0.110882275
800,0.110845983
801,0.110834561
802,0.110753469
803,0.110642366
804,0.110598095
805,0.110546961
806,0.110477991
807,0.110392377
808,0.110305145
809,0.110253364
810,0.110203855
811,0.110140368
812,0.110104188
813,0.110013336
814,0.109922178
815,0.109888613
816,0.109842375
817,0.109770216
818,0.109667823
819,0.10955023
820,0.10948839
821,0.109420635
822,0.109334052
823,0.109262802
824,0.109221593
825,0.10915184
826,0.109045252
827,0.108981229
828,0.108902983
829,0.108828939
830,0.108768232
831,0.108664759
832,0.108555317
833,0.108477496
834,0.108445667
835,0.108378664
836,0.108288221
837,0.108194999
838,0.108119272
839,0.108054832
840,0.107981592
841,0.107911684
842,0.107886776
843,0.107783183
844,0.107699156
845,0.107672349
846,0.10757947
847,0.107509412
848,0.107460953
849,0.107408419
850,0.107312068
851,0.107223898
852,0.107145645
853,0.107071288
854,0.107043378
855,0.106985271
856,0.106885105
857,0.10677965
858,0.106736124
859,0.106680728
860,0.106589615
861,0.106493808
862,0.106410637
863,0.106337398
864,0.106278323
865,0.1062387
866,0.106200911
867,0.106139801
868,0.106046364
869,0.105945088
870,0.1059127
871,0.105853617
872,0.10570544
873,0.105650268
874,0.105608568
875,0.105561726
876,0.105512954
877,0.105475895
878,0.10543932
879,0.105396293
880,0.105341814
881,0.10528329
882,0.105235413
883,0.10520535
884,0.105182461
885,0.105118707
886,0.105039604
887,0.10497757
888,0.104960337
889,0.10488835
890,0.104832254
891,0.104811229
892,0.104754187
893,0.104747891
894,0.104770504
895,0.104754746
896,0.104601435
897,0.104479238
898,0.104409009
899,0.104383737
900,0.104414716
901,0.104418643
902,0.104397103
903,0.104359925
904,0.104258068
905,0.10420122
906,0.10417971
907,0.104150586
908,0.104092948
909,0.104042329
910,0.103993438
911,0.103942521
912,0.103965022
913,0.10393782
914,0.103884764
915,0.103882499
916,0.103865989
917,0.103784606
918,0.103706151
919,0.103725538
920,0.103718363
921,0.103717975
922,0.103718385
923,0.103687003
924,0.103628322
925,0.103545256
926,0.103481367
927,0.10348545
928,0.103429049
929,0.103484094
930,0.103565104
931,0.103424981
932,0.103425466
933,0.103444144
934,0.103401534
935,0.103324845
936,0.103349902
937,0.103350319
938,0.103306942
939,0.103307411
940,0.103231147
941,0.103213988
942,0.103255004
943,0.103214763
944,0.10319186
945,0.103133783
946,0.103034757
947,0.102965385
948,0.103114985
949,0.103142619
950,0.102995753
951,0.102970615
952,0.103037603
953,0.103015117
954,0.102919534
955,0.102941372
956,0.102900691
957,0.102876484
958,0.102922715
959,0.103000902
960,0.102828026
961,0.102711745
962,0.102762334
963,0.10283424
964,0.102829717
965,0.102847554
966,0.102891915
967,0.102871299
968,0.102718838
969,0.102767691
970,0.102933556
971,0.102860846
972,0.102757558
973,0.102748863
974,0.102815501
975,0.102857687
976,0.102879442
977,0.102935314
978,0.103002533
979,0.102999009
980,0.102814011
981,0.102774076
982,0.102856085
983,0.102882333
984,0.102904618
985,0.102822319
986,0.102670431
987,0.10256239
988,0.10266149
989,0.102668121
990,0.102719747
991,0.102879003
992,0.102591403
993,0.102643095
994,0.102967687
995,0.103174254
996,0.102833368
997,0.102900155
998,0.102885544
999,0.102578118
1000,0.102722548
1001,0.102761075
1002,0.102773465
1003,0.102776103
1004,0.102809601
1005,0.102799483
1006,0.102766357
1007,0.102753051
1008,0.102748416
1009,0.102838635
1010,0.102927044
1011,0.102909535
1012,0.102907769
1013,0.102907591
1014,0.102904186
1015,0.10291902
1016,0.102934934
1017,0.10296087
1018,0.102951653
1019,0.102944538
1020,0.102999285
1021,0.103053093
1022,0.103091285
1023,0.103127986
1024,0.103142127
1025,0.103204705
1026,0.103255212
1027,0.103251837
1028,0.103284217
1029,0.103316963
1030,0.103359185
1031,0.103401959
1032,0.103484698
1033,0.103532664
1034,0.103526846
1035,0.10349977
1036,0.10349723
1037,0.103530966
1038,0.103562556
1039,0.103552014
1040,0.10353151
1041,0.103568107
1042,0.103589363
1043,0.103621632
1044,0.103692584
1045,0.103790551
1046,0.103781395
1047,0.103760242
1048,0.103753403
1049,0.103724353
1050,0.103712782
1051,0.103732653
1052,0.103761546
1053,0.103777416
1054,0.103818364
1055,0.103867553
1056,0.103912875
1057,0.103981733
1058,0.104021274
1059,0.104040489
1060,0.104063638
1061,0.104058266
1062,0.104058281
1063,0.104067273
1064,0.104094021
1065,0.104130507
1066,0.104126245
1067,0.104180574
1068,0.104239464
1069,0.104279168
1070,0.104352251
1071,0.10441795
1072,0.104437418
1073,0.104455121
1074,0.104480065
1075,0.104508847
1076,0.104487047
1077,0.104539163
1078,0.104607522
1079,0.1046395
1080,0.104745768
1081,0.104817614
1082,0.104804389
1083,0.104853787
1084,0.104893893
1085,0.104893453
1086,0.104923308
1087,0.105009049
1088,0.10504327
1089,0.105048798
1090,0.105066024
1091,0.105105683
1092,0.105129994
1093,0.105150156
1094,0.105189562
1095,0.105232984
1096,0.105299212
1097,0.105357692
1098,0.105439603
1099,0.105492622
1100,0.105500013
1101,0.105544925
1102,0.105602324
1103,0.105664842
1104,0.105703466
1105,0.105764531
1106,0.105790272
1107,0.10578569
1108,0.105823159
1109,0.105870031
1110,0.105916359
1111,0.105955169
1112,0.105981223
1113,0.105991229
1114,0.106011905
1115,0.106033228
1116,0.106057838
1117,0.106090702
1118,0.106101587
1119,0.106121175
1120,0.106133349
1121,0.106165513
1122,0.10621684
1123,0.106265359
1124,0.106320411
1125,0.106354386
1126,0.106358744
1127,0.106387354
1128,0.106414035
1129,0.106443696
1130,0.106500074
1131,0.106525071
1132,0.10652075
1133,0.106544934
1134,0.106579952
1135,0.106583744
1136,0.106626488
1137,0.106682926
1138,0.106718279
1139,0.10679657
1140,0.106835209
1141,0.106858589
1142,0.106881946
1143,0.106880292
1144,0.106894806
1145,0.106940396
1146,0.10695906
1147,0.106948532
1148,0.106958054
1149,0.106978551
1150,0.10696581
1151,0.106971815
1152,0.107014477
1153,0.107054181
1154,0.107091971
1155,0.107120685
1156,0.107150167
1157,0.107185476
1158,0.107233435
1159,0.107246362
1160,0.107245095
1161,0.107248522
1162,0.107212096
1163,0.1071961
1164,0.10719268
1165,0.107197993
1166,0.107224785
1167,0.107247934
1168,0.107244618
1169,0.107274272
1170,0.107271686
1171,0.107214123
1172,0.107215382
1173,0.107248783
1174,0.10725607
1175,0.107280463
1176,0.107287169
1177,0.107254773
1178,0.107255816
1179,0.107277282
1180,0.107288212
1181,0.107298844
1182,0.107327402
1183,0.107355207
1184,0.107387193
1185,0.107399411
1186,0.107410371
1187,0.107420854
1188,0.107411213
1189,0.107425615
1190,0.107466429
1191,0.107491031
1192,0.107524507
1193,0.107535116
1194,0.107516602
1195,0.107523628
1196,0.107530825
1197,0.107532412
1198,0.107528217
1199,0.107563645
1200,0.10757634
1201,0.107582077
1202,0.10759075
1203,0.107610792
1204,0.107609421
1205,0.107589252
1206,0.107590824
1207,0.107601166
1208,0.107602485
1209,0.107595392
1210,0.107607856
1211,0.107612275
1212,0.107639171
1213,0.107724346
1214,0.107764162
1215,0.107775956
1216,0.107805148
1217,0.107817657
1218,0.107800685
1219,0.107808821
1220,0.107829064
1221,0.10784132
1222,0.107855894
1223,0.107864007
1224,0.10786815
1225,0.107871592
1226,0.107854813
1227,0.107868299
1228,0.107908279
1229,0.107924238
1230,0.107950211
1231,0.107962124
1232,0.107947402
1233,0.107925355
1234,0.107933074
1235,0.107950471
1236,0.107972763
1237,0.108020447
1238,0.108039513
1239,0.108047634
1240,0.108061112
1241,0.108066946
1242,0.108077474
1243,0.108106613
1244,0.108108461
1245,0.10807237
1246,0.108074978
1247,0.108097687
1248,0.108099312
1249,0.108111851
1250,0.10812515
1251,0.108134441
1252,0.108117893
1253,0.108128741
1254,0.108158365
1255,0.108176619
1256,0.108192325
1257,0.108204171
1258,0.108206689
1259,0.108234406
1260,0.108291
1261,0.108310595
1262,0.108327962
1263,0.108343899
1264,0.108318597
1265,0.108317323
1266,0.108356714
1267,0.108369783
1268,0.10836754
1269,0.108372875
1270,0.108369812
1271,0.108347878
1272,0.108355917
1273,0.108378656
1274,0.108392879
1275,0.108420938
1276,0.108431913
1277,0.108441055
1278,0.108430654
1279,0.108392313
1280,0.108373679
1281,0.108343497
1282,0.108326763
1283,0.108336784
1284,0.10832759
1285,0.108297817
1286,0.108282283
1287,0.108266219
1288,0.108249679
1289,0.108251944
1290,0.108263008
1291,0.108287066
1292,0.108323596
1293,0.108355232
1294,0.108400881
1295,0.108430229
1296,0.108450517
1297,0.108468898
1298,0.108486362
1299,0.108495705
1300,0.108490855
1301,0.108497456
1302,0.10851004
1303,0.108515888
1304,0.108509377
